O,D,flow,dist
9,10,0,13.24641443788428
9,11,0,11.278421236399769
9,12,0,23.013671284768165
9,13,0,7.989714742912824
9,14,0,8.809703703365303
9,15,0,11.545232042155451
9,16,0,15.55527610370062
9,17,0,5.929672950415596
9,18,0,18.642237573472602
9,19,0,14.975256755754536
9,20,0,11.011375819784607
9,21,0,21.85705377509558
9,22,0,4.056005089598958
9,23,0,16.1009780469919
9,24,0,25.62128636077529
9,25,0,23.07229758447216
9,26,0,18.264305130750145
9,27,0,16.37818288434717
9,28,0,7.83753451964871
9,29,0,15.891895049950943
9,30,0,9.50119903776793
9,31,0,9.029016907024465
9,32,0,10.368348746890184
9,33,0,11.079041167706658
9,34,0,8.32573364012091
9,35,0,18.965800186619653
9,36,0,5.607796548723757
9,37,0,10.017170891322998
9,38,0,9.018207940986215
9,39,0,13.784318466255392
9,40,0,15.438675523524806
9,41,0,4.91662373829052
9,42,0,9.84216973032573
9,43,0,16.208159544576652
9,44,0,5.547729601750308
9,45,0,5.239270344943943
9,46,0,3.213074459483253
9,47,0,9.260803467639825
9,48,0,8.065512362398357
9,49,0,8.355503750141825
9,50,0,5.071985555914066
9,51,0,3.1072186575361718
9,52,0,10.699141825306393
