osm_id,name,type,other_tags
"3929126",,restriction,"""restriction""=>""no_right_turn"""
"3929127",,restriction,"""restriction""=>""no_u_turn"""
"3929128",,restriction,"""restriction""=>""no_u_turn"""
"3929129",,restriction,"""restriction""=>""no_u_turn"""
"3929130",,restriction,"""restriction""=>""no_u_turn"""
"3929138",,restriction,"""restriction""=>""no_u_turn"""
"3929139",,restriction,"""restriction""=>""no_u_turn"""
"3929140",,restriction,"""restriction""=>""no_u_turn"""
"3929141",,restriction,"""restriction""=>""no_u_turn"""
"3929143",,restriction,"""restriction""=>""no_u_turn"""
"3929144",,restriction,"""restriction""=>""no_u_turn"""
"3929145",,restriction,"""restriction""=>""no_u_turn"""
"3929146",,restriction,"""restriction""=>""no_u_turn"""
"3929147",,restriction,"""restriction""=>""no_u_turn"""
"3929148",,restriction,"""restriction""=>""no_u_turn"""
"3929149",,restriction,"""restriction""=>""no_u_turn"""
"3929150",,restriction,"""restriction""=>""no_u_turn"""
"3929151",,restriction,"""restriction""=>""no_u_turn"""
"3929152",,restriction,"""restriction""=>""no_u_turn"""
"3929153",,restriction,"""restriction""=>""no_u_turn"""
"3929154",,restriction,"""restriction""=>""no_u_turn"""
"3929157",,restriction,"""restriction""=>""no_u_turn"""
"3929158",,restriction,"""restriction""=>""no_u_turn"""
"3929159",,restriction,"""restriction""=>""no_u_turn"""
"3929160",,restriction,"""restriction""=>""no_u_turn"""
"3929163",,restriction,"""restriction""=>""no_u_turn"""
"3929164",,restriction,"""restriction""=>""no_u_turn"""
"3929165",,restriction,"""restriction""=>""no_u_turn"""
"3929166",,restriction,"""restriction""=>""no_u_turn"""
"3929170",,restriction,"""restriction""=>""no_u_turn"""
"3945093",Mei Hwan Drive,associatedStreet,
"4174655",,restriction,"""restriction""=>""no_right_turn"""
"5275994",,restriction,"""restriction""=>""no_left_turn"""
"5321401",,restriction,"""restriction""=>""no_left_turn"""
"5321402",,restriction,"""restriction""=>""no_left_turn"""
"5339456",,restriction,"""restriction""=>""no_left_turn"""
"5339457",,restriction,"""restriction""=>""no_left_turn"""
"5339458",,restriction,"""restriction""=>""no_left_turn"""
"5340427",,restriction,"""restriction""=>""no_left_turn"""
"5341418",,restriction,"""restriction""=>""no_left_turn"""
"5341431",,restriction,"""restriction""=>""no_left_turn"""
"5341448",,restriction,"""restriction""=>""no_left_turn"""
"5341451",,restriction,"""restriction""=>""no_left_turn"""
"5490240",,restriction,"""restriction""=>""no_left_turn"""
"5525762",Dalvey Estate,associatedStreet,
"5525764",Dalvey Road,associatedStreet,"""name:en""=>""Dalvey Road"",""name:zh""=>""大威路"""
"5525766",Fernhill Road,associatedStreet,
"5525767",Lady Hill Road,associatedStreet,
"5525768",Lermit Road,associatedStreet,
"5525769",Lewis Road,associatedStreet,
"5525770",Margoliouth Road,associatedStreet,
"5525771",Nassim Hill,associatedStreet,
"5525772",Nassim Road,associatedStreet,"""name:en""=>""Nassim Road"",""name:zh""=>""那森路"""
"5525773",Saint Martin's Drive,associatedStreet,
"5525774",Taman Serasi,associatedStreet,
"5525775",White House Park,associatedStreet,
"5525776",White House Road,associatedStreet,
"5525783",Cluny Road,street,"""name:en""=>""Cluny Road"",""name:zh""=>""古鲁尼路"""
"5525791",Stevens Close,associatedStreet,
"5528083",Outram Road,associatedStreet,
"5528176",Duxton Hill,associatedStreet,
"5536609",Chander Road,associatedStreet,
"5536610",Race Course Road,associatedStreet,
"5805565",Jalan Grisek,associatedStreet,
"5805566",Jalan Krian,associatedStreet,
"5805567",Jalan Lana,associatedStreet,
"5805568",Jalan Lapang,associatedStreet,
"5805569",Jalan Paras,associatedStreet,
"5805570",Jalan Sayang,associatedStreet,
"5805571",Jalan Selamat,associatedStreet,
"5805573",Jalan Senang,associatedStreet,
"5805590",Jalan Sentosa,associatedStreet,
"5805591",Jalan Senyum,associatedStreet,
"5805592",Jalan Waringin,associatedStreet,
"5805593",Lengkong Enam,associatedStreet,
"5805594",Lengkong Lima,associatedStreet,
"5805595",Lengkong Tujoh,associatedStreet,
"5805596",Lorong Kembangan,associatedStreet,"""name:en""=>""Lorong Kembangan"""
"5805597",Senang Crescent,associatedStreet,
"5805598",Taman Kembangan,associatedStreet,
"5805599",Taman Selamat,associatedStreet,
"5805600",Waringin Park,associatedStreet,
"5805601",Waringin Walk,associatedStreet,
"5819047",,restriction,"""restriction""=>""no_right_turn"""
"5819048",,restriction,"""restriction""=>""no_left_turn"""
"5821454",,restriction,"""restriction""=>""no_right_turn"""
"5828384",Kent Vale,site,"""name:zh""=>""肯特谷"""
"5901695",Pan Pacific,building,"""building""=>""hotel"",""wikidata""=>""Q7755983"""
"6173737",,restriction,"""restriction""=>""no_u_turn"""
"6217761",Ong Sam Leong,person,"""born""=>""1857"",""description""=>""Largest tomb in Singapore"",""died""=>""7-Feb-1918"",""family_name""=>""Ong"",""lived_in""=>""Singapore"""
"6217762",Yeo Hean Neo,person,"""born""=>""1862"",""description""=>""Wife of Ong Sam leong"",""died""=>""25-May-1935"",""family_name""=>""Yeo"",""lived_in""=>""Singapore"""
"6217817",Seah Eu Chin,person,"""born""=>""1805"",""description""=>""Teochew Leader"",""died""=>""23-Sep-1883"",""family_name""=>""Seah"",""lived_in""=>""Singapore"",""wikipedia""=>""en:Seah Eu Chin"""
"6262803",,restriction,"""restriction""=>""no_u_turn"""
"6262804",,restriction,"""restriction""=>""no_left_turn"""
"6262805",,restriction,"""restriction""=>""no_u_turn"""
"6262806",,restriction,"""restriction""=>""no_left_turn"""
"6262807",,restriction,"""restriction""=>""no_u_turn"""
"6262808",,restriction,"""restriction""=>""no_left_turn"""
"6262809",,restriction,"""restriction""=>""no_right_turn"""
"6262810",,restriction,"""restriction""=>""no_u_turn"""
"6262822",,restriction,"""restriction""=>""no_u_turn"""
"6262823",,restriction,"""restriction""=>""no_left_turn"""
"6262825",,restriction,"""restriction""=>""no_left_turn"""
"6262826",,restriction,"""restriction""=>""no_u_turn"""
"6262827",,restriction,"""restriction""=>""no_left_turn"""
"6262828",,restriction,"""restriction""=>""no_u_turn"""
"6262829",,restriction,"""restriction""=>""no_left_turn"""
"6262830",,restriction,"""restriction""=>""no_right_turn"""
"6262831",,restriction,"""restriction""=>""no_right_turn"""
"6262832",,restriction,"""restriction""=>""no_u_turn"""
"6262833",,restriction,"""restriction""=>""no_right_turn"""
"6262834",,restriction,"""restriction""=>""no_right_turn"""
"6262835",,restriction,"""restriction""=>""no_right_turn"""
"6262836",,restriction,"""restriction""=>""no_right_turn"""
"6262837",,restriction,"""restriction""=>""no_right_turn"""
"6262838",,restriction,"""restriction""=>""no_right_turn"""
"6262839",,restriction,"""restriction""=>""no_right_turn"""
"6262840",,restriction,"""restriction""=>""no_u_turn"""
"6262849",,restriction,"""restriction""=>""no_right_turn"""
"6262850",,restriction,"""restriction""=>""no_u_turn"""
"6262851",,restriction,"""restriction""=>""no_u_turn"""
"6262852",,restriction,"""restriction""=>""no_u_turn"""
"6262853",,restriction,"""restriction""=>""no_right_turn"""
