experiment_id,module,param,r01_value,new_value,changed_vs_r01,is_allowed_diff
F15,plans,removingUnnecessaryPlanAttributes,false,false,False,False
F15,plans,tripDurationHandling,ignoreDelays,ignoreDelays,False,False
F15,qsim,delayInstantTeleportationArrivals,true,true,False,False
F15,qsim,endTime,undefined,undefined,False,False
F15,qsim,filterSnapshots,no,no,False,False
F15,qsim,flowCapacityFactor,1.0,1.0,False,False
F15,qsim,insertingWaitingVehiclesBeforeDrivingVehicles,true,true,False,False
F15,qsim,isRestrictingSeepage,true,true,False,False
F15,qsim,isSeepModeStorageFree,false,false,False,False
F15,qsim,linkDynamics,FIFO,FIFO,False,False
F15,qsim,linkWidth,30.0,30.0,False,False
F15,qsim,mainMode,car,car,False,False
F15,qsim,nodeOffset,0.0,0.0,False,False
F15,qsim,notifyAboutStuckVehicles,false,false,False,False
F15,qsim,numberOfThreads,8,8,False,False
F15,qsim,personInitializedEvents,none,none,False,False
F15,qsim,removeStuckVehicles,false,false,False,False
F15,qsim,seepMode,bike,bike,False,False
F15,qsim,simEndtimeInterpretation,null,null,False,False
F15,qsim,simStarttimeInterpretation,maxOfStarttimeAndEarliestActivityEnd,maxOfStarttimeAndEarliestActivityEnd,False,False
F15,qsim,snapshotStyle,queue,queue,False,False
F15,qsim,snapshotperiod,00:00:00,00:00:00,False,False
F15,qsim,startTime,undefined,undefined,False,False
F15,qsim,storageCapacityFactor,1.0,1.0,False,False
F15,qsim,stuckTime,10.0,10.0,False,False
F15,qsim,timeStepSize,00:00:01,00:00:01,False,False
F15,qsim,trafficDynamics,queue,queue,False,False
F15,qsim,useLanes,false,false,False,False
F15,qsim,usePersonIdForMissingVehicleId,false,false,False,False
F15,qsim,usingFastCapacityUpdate,true,true,False,False
F15,qsim,vehicleBehavior,teleport,teleport,False,False
F15,qsim,vehiclesSource,defaultVehicle,defaultVehicle,False,False
F15,replanning,ExternalExeConfigTemplate,null,null,False,False
F15,replanning,ExternalExeTimeOut,3600,3600,False,False
F15,replanning,ExternalExeTmpFileRootDir,null,null,False,False
F15,replanning,fractionOfIterationsToDisableInnovation,0.8,0.8,False,False
F15,replanning,maxAgentPlanMemorySize,5,5,False,False
F15,replanning,planSelectorForRemoval,WorstPlanSelector,WorstPlanSelector,False,False
F15,replanningAnnealer,activateAnnealingModule,false,false,False,False
F15,routing,accessEgressType,accessEgressModeToLink,accessEgressModeToLink,False,False
F15,routing,clearDefaultTeleportedModeParams,false,false,False,False
F15,routing,networkModes,car,car,False,False
F15,routing,networkRouteConsistencyCheck,abortOnInconsistency,abortOnInconsistency,False,False
F15,routing,routingRandomness,0.0,0.0,False,False
F15,scoring,brainExpBeta,1.0,1.0,False,False
F15,scoring,fractionOfIterationsToStartScoreMSA,null,null,False,False
F15,scoring,learningRate,0.5,0.5,False,False
F15,scoring,pathSizeLogitBeta,1.0,1.0,False,False
F15,scoring,usingOldScoringBelowZeroUtilityDuration,false,false,False,False
F15,scoring,writeExperiencedPlans,true,true,False,False
F15,scoring,writeScoreExplanations,false,false,False,False
F15,subtourModeChoice,behavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
F15,subtourModeChoice,chainBasedModes,"car,bike","car,bike",False,False
F15,subtourModeChoice,considerCarAvailability,false,false,False,False
F15,subtourModeChoice,coordDistance,0.0,0.0,False,False
F15,subtourModeChoice,modes,"car,pt,bike,walk","car,pt,bike,walk",False,False
F15,subtourModeChoice,probaForRandomSingleTripMode,0.0,0.0,False,False
F15,timeAllocationMutator,latestActivityEndTime,86400.0,86400.0,False,False
F15,timeAllocationMutator,mutateAroundInitialEndTimeOnly,false,false,False,False
F15,timeAllocationMutator,mutationAffectsDuration,true,true,False,False
F15,timeAllocationMutator,mutationRange,1800.0,1800.0,False,False
F15,timeAllocationMutator,mutationRangeStep,1.0,1.0,False,False
F15,transit,inputScheduleCRS,null,null,False,False
F15,transit,insistingOnUsingDeprecatedAttributeFiles,false,false,False,False
F15,transit,routingAlgorithmType,SwissRailRaptor,SwissRailRaptor,False,False
F15,transit,transitLinesAttributesFile,null,null,False,False
F15,transit,transitModes,pt,pt,False,False
F15,transit,transitScheduleFile,null,null,False,False
F15,transit,transitStopsAttributesFile,null,null,False,False
F15,transit,useTransit,false,false,False,False
F15,transit,usingTransitInMobsim,true,true,False,False
F15,transit,vehiclesFile,null,null,False,False
F15,transitRouter,additionalTransferTime,0.0,0.0,False,False
F15,transitRouter,directWalkFactor,1.0,1.0,False,False
F15,transitRouter,extensionRadius,200.0,200.0,False,False
F15,transitRouter,maxBeelineWalkConnectionDistance,100.0,100.0,False,False
F15,transitRouter,searchRadius,1000.0,1000.0,False,False
F15,travelTimeCalculator,analyzedModes,car,car,False,False
F15,travelTimeCalculator,calculateLinkToLinkTravelTimes,false,false,False,False
F15,travelTimeCalculator,calculateLinkTravelTimes,true,true,False,False
F15,travelTimeCalculator,filterModes,false,false,False,False
F15,travelTimeCalculator,maxTime,108000,108000,False,False
F15,travelTimeCalculator,separateModes,true,true,False,False
F15,travelTimeCalculator,travelTimeAggregator,optimistic,optimistic,False,False
F15,travelTimeCalculator,travelTimeBinSize,900.0,900.0,False,False
F15,travelTimeCalculator,travelTimeGetter,average,average,False,False
F15,vehicles,vehiclesFile,null,null,False,False
F15,vspExperimental,isAbleToOverwritePtInteractionParams,false,false,False,False
F15,vspExperimental,isGeneratingBoardingDeniedEvent,false,false,False,False
F15,vspExperimental,isUsingOpportunityCostOfTimeForLocationChoice,true,true,False,False
F15,vspExperimental,logitScaleParamForPlansRemoval,1.0,1.0,False,False
F15,vspExperimental,vspDefaultsCheckingLevel,ignore,ignore,False,False
F15,vspExperimental,writingOutputEvents,true,true,False,False
F25,changeMode,ignoreCarAvailability,true,true,False,False
F25,changeMode,modeSwitchBehavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
F25,changeMode,modes,"car,pt","car,pt",False,False
